Addam_Marbrand:'siblings':[]| 'fmc':[['Damon_Marbrand'], []]| 'love':[]
Maelor_Targaryen:'siblings':[]| 'fmc':[[], []]| 'love':[]
Maelys_Blackfyre:'siblings':[]| 'fmc':[[], []]| 'love':[]
Maia_Stokeworth:'siblings':[]| 'fmc':[[], []]| 'love':[]
Maldon_Massey:'siblings':[]| 'fmc':[[], []]| 'love':[]
Malegorn_of_Redpool:'siblings':[]| 'fmc':[[], []]| 'love':[]
Malleon:'siblings':[]| 'fmc':[[], []]| 'love':[]
Jason_Mallister:'siblings':[]| 'fmc':[[], ['Patrek_Mallister']]| 'love':[]
Mallor_the_Dornishman:'siblings':[]| 'fmc':[[], []]| 'love':[]
Mandon_Moore:'siblings':[]| 'fmc':[[], []]| 'love':[]
Manfred_Dondarrion:'siblings':[]| 'fmc':[[], []]| 'love':[]
Manfred_Swann:'siblings':[]| 'fmc':[[], []]| 'love':[]
Manfrey_Martell:'siblings':[]| 'fmc':[[], []]| 'love':[]
Manfryd_Merlyn:'siblings':[]| 'fmc':[[], []]| 'love':[]
Manfryd_Mooton:'siblings':[]| 'fmc':[[], []]| 'love':[]
Manfryd_Redwyne:'siblings':[]| 'fmc':[[], ['Rickard_Redwyne', 'Ryam_Redwyne']]| 'love':[]
Manfryd_Yew:'siblings':[]| 'fmc':[[], []]| 'love':[]
Manly_Stokeworth:'siblings':[]| 'fmc':[[], []]| 'love':[]
Margaret_Karstark:'siblings':[]| 'fmc':[[], ['Benjen_Stark_(Son_of_Bennard)', 'Brandon_Stark_(Son_of_Bennard)', 'Elric_Stark']]| 'love':['Bennard_Stark']
Marghaz_zo_Loraq:'siblings':[]| 'fmc':[[], []]| 'love':[]
Margot_Lannister:'siblings':[]| 'fmc':[[], []]| 'love':['Titus_Peake']
Mariah_Stark:'siblings':['Rickon_Stark_(Son_of_Cregan)', 'Sarra_Stark', 'Alys_Stark', 'Raya_Stark', 'Jonnel_Stark', 'Edric_Stark_(Son_of_Cregan)', 'Lyanna_Stark_(Daughter_of_Cregan)', 'Barthogan_Stark', 'Brandon_Stark_(Son_of_Cregan)']| 'fmc':[['Cregan_Stark', 'Alysanne_Blackwood'], []]| 'love':[]
Marillion:'siblings':[]| 'fmc':[[], []]| 'love':[]
Maris_the_Maid:'siblings':['John_the_Oak', 'Gilbert_of_the_Vines', 'Florys_the_Fox', 'Brandon_of_the_Bloody_Blade', 'Foss_the_Archer', 'Owen_Oakenshield', 'Harlon_the_Hunter', 'Herndon_of_the_Horn', 'Bors_the_Breaker', 'Rose_of_Red_Lake', 'Ellyn_Ever_Sweet', 'Rowan_Gold-Tree', 'Garth_the_Gardener']| 'fmc':[['Garth_Greenhand'], ['Peremore_Hightower']]| 'love':['Uthor_of_the_High_Tower']
Mariya_Darry:'siblings':[]| 'fmc':[[], ['Amerei_Frey', 'Walda_Frey_(Fat_Walda_Frey)', 'Walder_Frey_(Little)']]| 'love':['Merrett_Frey']
Mark_Mullendore:'siblings':[]| 'fmc':[[], []]| 'love':[]
Marla_Prester:'siblings':[]| 'fmc':[[], ['Joanna_Lannister', 'Stafford_Lannister']]| 'love':['Jason_Lannister_(son_of_Gerold)']
Marlon_Manderly:'siblings':[]| 'fmc':[[], []]| 'love':[]
Marna_Locke:'siblings':[]| 'fmc':[[], ['Rickard_Stark']]| 'love':['Edwyle_Stark']
Maron_Botley:'siblings':[]| 'fmc':[[], []]| 'love':[]
Maron_Greyjoy:'siblings':['Rodrik_Greyjoy', 'Asha_Greyjoy', 'Theon_Greyjoy']| 'fmc':[['Balon_Greyjoy', 'Alannys_Harlaw'], []]| 'love':[]
Maron_Volmark:'siblings':[]| 'fmc':[[], []]| 'love':[]
Marq_Farman:'siblings':[]| 'fmc':[[], ['Franklyn_Farman', 'Androw_Farman']]| 'love':[]
Marq_Piper:'siblings':['Lewys_Piper']| 'fmc':[['Clement_Piper'], []]| 'love':[]
Marqelo_Tagaros:'siblings':[]| 'fmc':[[], []]| 'love':[]
Marsella_Waynwood:'siblings':[]| 'fmc':[[], ['Walton_Frey']]| 'love':['Stevron_Frey']
Lewyn_Martell:'siblings':[]| 'fmc':[[], []]| 'love':[]
Mors_Martell:'siblings':[]| 'fmc':[[], []]| 'love':[]
Martyn_Cassel:'siblings':['Rodrik_Cassel']| 'fmc':[[], ['Jory_Cassel']]| 'love':[]
Martyn_Lannister:'siblings':['Lancel_Lannister', 'Willem_Lannister', 'Janei_Lannister']| 'fmc':[['Kevan_Lannister', 'Dorna_Swyft'], []]| 'love':[]
Martyn_Mullendore:'siblings':[]| 'fmc':[[], []]| 'love':[]
Martyn_Rivers:'siblings':['Stevron_Frey', 'Emmon_Frey', 'Aenys_Frey', 'Perriane_Frey', 'Jared_Frey', 'Luceon_Frey', 'Hosteen_Frey', 'Lythene_Frey', 'Symond_Frey', 'Danwell_Frey', 'Merrett_Frey', 'Geremy_Frey', 'Raymund_Frey', 'Lothar_Frey', 'Jammos_Frey', 'Whalen_Frey', 'Morya_Frey', 'Tyta_Frey', 'Perwyn_Frey', 'Benfrey_Frey', 'Willamen_Frey', 'Olyvar_Frey', 'Roslin_Frey', 'Arwyn_Frey', 'Wendel_Frey', 'Colmar_Frey', 'Waltyr_Frey', 'Elmar_Frey', 'Shirei_Frey', 'Walder_Rivers', 'Ronel_Rivers']| 'fmc':[['Walder_Frey'], []]| 'love':[]
Maryam:'siblings':[]| 'fmc':[[], []]| 'love':[]
Masha_Heddle:'siblings':[]| 'fmc':[[], []]| 'love':[]
Maslyn:'siblings':[]| 'fmc':[[], []]| 'love':[]
Matarys_Targaryen:'siblings':['Valarr_Targaryen']| 'fmc':[['Baelor_Targaryen'], []]| 'love':[]
Mathis_Frey:'siblings':['Walder_Frey_(son_of_Jammos)', 'Dickon_Frey']| 'fmc':[['Jammos_Frey', 'Sallei_Paege'], []]| 'love':[]
Mathis_Rowan:'siblings':[]| 'fmc':[[], []]| 'love':[]
Matthar:'siblings':[]| 'fmc':[[], []]| 'love':[]
Mattheus:'siblings':[]| 'fmc':[[], []]| 'love':[]
Matthew_Mullendore:'siblings':[]| 'fmc':[[], []]| 'love':[]
Medgar_Tully:'siblings':[]| 'fmc':[[], []]| 'love':[]
Medrick:'siblings':[]| 'fmc':[[], []]| 'love':[]
Medwick_Tyrell:'siblings':['Olene_Tyrell']| 'fmc':[['Luthor_Tyrell_(son_of_Moryn)', 'Elyn_Norridge'], []]| 'love':[]
Meera_Reed:'siblings':['Jojen_Reed']| 'fmc':[['Howland_Reed'], []]| 'love':[]
Megga_Tyrell:'siblings':['Raymund_Tyrell', 'Rickard_Tyrell']| 'fmc':[['Olymer_Tyrell', 'Lysa_Meadows'], []]| 'love':[]
Meha:'siblings':['Varamyr', 'Bump']| 'fmc':[[], []]| 'love':[]
Melantha_Blackwood:'siblings':[]| 'fmc':[[], ['Edwyle_Stark', 'Jocelyn_Stark']]| 'love':['Willam_Stark']
Melara_Crane:'siblings':[]| 'fmc':[[], ['Melessa_Florent', 'Alekyne_Florent', 'Rhea_Florent']]| 'love':['Alester_Florent']
Meldred_Merlyn:'siblings':[]| 'fmc':[[], []]| 'love':[]
Melesa_Crakehall:'siblings':[]| 'fmc':[[], []]| 'love':['Lyonel_Frey']
Melessa_Florent:'siblings':['Alekyne_Florent', 'Rhea_Florent']| 'fmc':[['Alester_Florent'], ['Samwell_Tarly', 'Talla_Tarly', 'Dickon_Tarly']]| 'love':['Randyll_Tarly']
Melisandre:'siblings':[]| 'fmc':[[], []]| 'love':[]
Melissa_Blackwood:'siblings':[]| 'fmc':[[], ['Mya_Rivers', 'Gwenys_Rivers', 'Brynden_Rivers']]| 'love':[]
Mellario_of_Norvos:'siblings':[]| 'fmc':[[], ['Arianne_Martell', 'Quentyn_Martell', 'Trystane_Martell']]| 'love':['Doran_Martell']
Melony_Piper:'siblings':['Jon_Piper']| 'fmc':[[], []]| 'love':[]
Melwyn_Sarsfield:'siblings':[]| 'fmc':[[], []]| 'love':['Shierle_Swyft']
Merianne_Frey:'siblings':['Hoster_Frey']| 'fmc':[['Whalen_Frey', 'Sylwa_Paege'], []]| 'love':[]
Meribald:'siblings':[]| 'fmc':[[], []]| 'love':[]
Merlon_Crakehall:'siblings':['Tybolt_Crakehall', 'Lyle_Crakehall']| 'fmc':[['Roland_Crakehall'], []]| 'love':[]
Mern_IX_Gardener:'siblings':[]| 'fmc':[[], []]| 'love':[]
Merrell_Bullock:'siblings':[]| 'fmc':[[], ['Alyn_Bullock', 'Howard_Bullock']]| 'love':[]
Merrell_Florent:'siblings':['Delena_Florent', 'Omer_Florent']| 'fmc':[['Colin_Florent'], []]| 'love':[]
Merrett_Frey:'siblings':[]| 'fmc':[['Walder_Frey'], []]| 'love':[]
Mervyn_Flowers:'siblings':[]| 'fmc':[[], []]| 'love':[]
Meryn_Trant:'siblings':[]| 'fmc':[[], []]| 'love':[]
Mikken:'siblings':[]| 'fmc':[[], []]| 'love':[]
Mina_Tyrell:'siblings':['Mace_Tyrell', 'Janna_Tyrell']| 'fmc':[['Luthor_Tyrell', 'Olenna_Tyrell'], ['Horas_Redwyne', 'Hobber_Redwyne', 'Desmera_Redwyne']]| 'love':['Paxter_Redwyne']
Minisa_Tully:'siblings':[]| 'fmc':[[], ['Catelyn_Stark', 'Lysa_Arryn', 'Edmure_Tully']]| 'love':['Hoster_Tully']
Mirri_Maz_Duur:'siblings':[]| 'fmc':[[], []]| 'love':[]
Mohor:'siblings':[]| 'fmc':[[], []]| 'love':[]
Mollander:'siblings':[]| 'fmc':[[], []]| 'love':[]
Category:Monarchs:'siblings':[]| 'fmc':[[], []]| 'love':[]
Moon_(Septon):'siblings':[]| 'fmc':[[], []]| 'love':[]
Moon_Boy:'siblings':[]| 'fmc':[[], []]| 'love':[]
Mord:'siblings':[]| 'fmc':[[], []]| 'love':[]
Mordane:'siblings':[]| 'fmc':[[], []]| 'love':[]
Moreo_Tumitis:'siblings':[]| 'fmc':[[], []]| 'love':[]
Morgan_Dunstable:'siblings':[]| 'fmc':[[], []]| 'love':[]
Morgan_Hightower:'siblings':['Ceryse_Hightower']| 'fmc':[[], []]| 'love':[]
Morgan_Wylde:'siblings':[]| 'fmc':[[], ['Coryanne_Wylde']]| 'love':[]
Morgarth:'siblings':[]| 'fmc':[[], []]| 'love':[]
Morgon_Banefort:'siblings':[]| 'fmc':[[], []]| 'love':[]
Jeor_Mormont:'siblings':['Maege_Mormont']| 'fmc':[[], ['Jorah_Mormont']]| 'love':[]
Jorah_Mormont:'siblings':[]| 'fmc':[['Jeor_Mormont'], []]| 'love':['House_Glover']
Moro:'siblings':[]| 'fmc':[[], []]| 'love':[]
Morrec:'siblings':[]| 'fmc':[[], []]| 'love':[]
Morros_Slynt:'siblings':['Danos_Slynt']| 'fmc':[['Janos_Slynt'], []]| 'love':[]
Mors_II_Martell:'siblings':[]| 'fmc':[[], []]| 'love':[]
Morya_Frey:'siblings':['Lothar_Frey', 'Jammos_Frey', 'Whalen_Frey', 'Tyta_Frey']| 'fmc':[['Walder_Frey', 'Alyssa_Blackwood'], ['Robert_Brax_(son_of_Flement)', 'Walder_Brax', 'Jon_Brax']]| 'love':['Flement_Brax']
Mullin:'siblings':[]| 'fmc':[[], []]| 'love':[]
Mully:'siblings':[]| 'fmc':[[], []]| 'love':[]
Munda:'siblings':['Torwynd', 'Dormund', 'Dryn']| 'fmc':[['Tormund'], []]| 'love':['Ryk']
Murenmure:'siblings':[]| 'fmc':[[], []]| 'love':[]
Mya_Rivers:'siblings':['Brynden_Rivers', 'Gwenys_Rivers', 'Daeron_II_Targaryen', 'Alysanne_(daughter_of_Aegon_IV)', 'Lily', 'Willow_(daughter_of_Aegon_IV)', 'Rosey_(daughter_of_Aegon_IV)', 'Bellanora_Otherys', 'Narha_Otherys', 'Balerion_Otherys', 'Aegor_Rivers', 'Daemon_Blackfyre', 'Shiera_Seastar']| 'fmc':[['Aegon_IV_Targaryen', 'Melissa_Blackwood'], []]| 'love':[]
Mycah:'siblings':[]| 'fmc':[[], []]| 'love':[]
Mychel_Redfort:'siblings':['Jon_Redfort']| 'fmc':[['Horton_Redfort'], []]| 'love':['Ysilla_Royce']
Myles:'siblings':[]| 'fmc':[[], []]| 'love':[]
Myles_Mooton:'siblings':[]| 'fmc':[[], []]| 'love':[]
Myles_Toyne:'siblings':[]| 'fmc':[[], []]| 'love':[]
Myranda_Lefford:'siblings':[]| 'fmc':[[], ['Daven_Lannister', 'Cerenna_Lannister', 'Myrielle_Lannister']]| 'love':['Stafford_Lannister']
Myrcella_Baratheon:'siblings':['Joffrey_I_Baratheon', 'Tommen_I_Baratheon']| 'fmc':[['Robert_I_Baratheon', 'Jaime_Lannister', 'Cersei_Lannister'], []]| 'love':['Trystane_Martell']
Myriame_Manderly:'siblings':[]| 'fmc':[[], []]| 'love':['Rodwell_Stark']
Myrielle_Lannister:'siblings':['Daven_Lannister', 'Cerenna_Lannister']| 'fmc':[['Myranda_Lefford'], []]| 'love':[]
Mysaria:'siblings':[]| 'fmc':[[], []]| 'love':[]
Naerys_Targaryen:'siblings':['Aegon_IV_Targaryen', 'Aemon_Targaryen']| 'fmc':[['Larra_Rogare'], []]| 'love':['Aegon_IV_Targaryen']
Naggle:'siblings':[]| 'fmc':[[], []]| 'love':[]
Narha_Otherys:'siblings':[]| 'fmc':[[], []]| 'love':[]
Night%27s_King:'siblings':[]| 'fmc':[[], []]| 'love':[]
Norbert_Vance:'siblings':[]| 'fmc':[[], []]| 'love':[]
Norjen:'siblings':[]| 'fmc':[[], []]| 'love':[]
Norman_Hightower:'siblings':[]| 'fmc':[[], []]| 'love':[]
Normund:'siblings':[]| 'fmc':[[], []]| 'love':[]
Norne_Goodbrother:'siblings':[]| 'fmc':[[], []]| 'love':[]
Norren:'siblings':[]| 'fmc':[[], []]| 'love':[]
Notch:'siblings':[]| 'fmc':[[], []]| 'love':[]
Nute_the_Barber:'siblings':[]| 'fmc':[[], []]| 'love':[]
Nymeria:'siblings':[]| 'fmc':[[], []]| 'love':['Mors_Martell', 'House_Uller', 'Davos_Dayne']
Nymeria_Sand:'siblings':['Obara_Sand', 'Tyene_Sand']| 'fmc':[['Oberyn_Martell'], []]| 'love':[]
Obara_Sand:'siblings':[]| 'fmc':[[], []]| 'love':[]
Oberyn_Martell:'siblings':['Doran_Martell', 'Mors_Martell', 'Elia_Martell']| 'fmc':[[], ['Obara_Sand', 'Nymeria_Sand', 'Tyene_Sand']]| 'love':[]
Old_Nan:'siblings':[]| 'fmc':[[], []]| 'love':[]
Olene_Tyrell:'siblings':['Theodore_Tyrell', 'Medwick_Tyrell']| 'fmc':[['Luthor_Tyrell_(son_of_Moryn)', 'Elyn_Norridge'], []]| 'love':['Leo_Blackbar']
Olenna_Tyrell:'siblings':[]| 'fmc':[[], ['Mina_Tyrell', 'Mace_Tyrell', 'Janna_Tyrell']]| 'love':['Luthor_Tyrell']
Ollidar:'siblings':[]| 'fmc':[[], []]| 'love':[]
Olymer_Tyrell:'siblings':[]| 'fmc':[['Quentin_Tyrell'], ['Raymund_Tyrell', 'Rickard_Tyrell', 'Megga_Tyrell']]| 'love':['Lysa_Meadows']
Olyvar_Frey:'siblings':['Stevron_Frey', 'Merrett_Frey', 'Roslin_Frey']| 'fmc':[['Walder_Frey'], []]| 'love':[]
Olyvar_Yronwood:'siblings':[]| 'fmc':[[], []]| 'love':[]
Olyver_Bracken:'siblings':[]| 'fmc':[[], []]| 'love':[]
Omer_Blackberry:'siblings':[]| 'fmc':[[], []]| 'love':[]
Omer_Florent:'siblings':['Delena_Florent', 'Merrell_Florent']| 'fmc':[['Colin_Florent'], []]| 'love':[]
Ondrew_Locke:'siblings':[]| 'fmc':[[], []]| 'love':[]
Orbert_Caswell:'siblings':[]| 'fmc':[[], []]| 'love':[]
Ormond_Westerling:'siblings':[]| 'fmc':[[], []]| 'love':[]
Ormund_Baratheon:'siblings':[]| 'fmc':[['Lyonel_Baratheon'], ['Steffon_Baratheon']]| 'love':['Rhaelle_Targaryen']
Ormund_Hightower:'siblings':[]| 'fmc':[[], []]| 'love':[]
Orryn_Baratheon:'siblings':['Rogar_Baratheon', 'Borys_Baratheon', 'Ronnal_Baratheon']| 'fmc':[[], []]| 'love':['Archon%27s_Daughter_(Jaehaerys_I)']
Orton_Merryweather:'siblings':[]| 'fmc':[[], []]| 'love':[]
Orys_Baratheon:'siblings':['Aegon_I_Targaryen', 'Visenya_Targaryen', 'Rhaenys_Targaryen']| 'fmc':[['Aerion_Targaryen_(son_of_Daemion)'], ['Davos_Baratheon']]| 'love':['Argella_Baratheon']
Osbert_Serry:'siblings':[]| 'fmc':[[], ['Talbert_Serry']]| 'love':[]
Oscar_Tully:'siblings':['Kermit_Tully']| 'fmc':[['Elmo_Tully'], []]| 'love':[]
Osfryd_Kettleblack:'siblings':[]| 'fmc':[[], []]| 'love':[]
Osha:'siblings':[]| 'fmc':[[], []]| 'love':[]
Osmund_Kettleblack:'siblings':['Osfryd_Kettleblack', 'Osney_Kettleblack']| 'fmc':[[], []]| 'love':[]
Osmund_Strong:'siblings':[]| 'fmc':[[], []]| 'love':[]
Osney_Kettleblack:'siblings':[]| 'fmc':[[], []]| 'love':[]
Osric_Stark:'siblings':[]| 'fmc':[[], []]| 'love':[]
Osric_Umber:'siblings':[]| 'fmc':[[], []]| 'love':['Arrana_Stark']
Oswald_Wode:'siblings':[]| 'fmc':[[], []]| 'love':[]
Oswell_Whent:'siblings':['Walter_Whent']| 'fmc':[[], []]| 'love':[]
Oswyck:'siblings':[]| 'fmc':[[], []]| 'love':[]
Oswyn:'siblings':[]| 'fmc':[[], []]| 'love':[]
Othell_Yarwyck:'siblings':[]| 'fmc':[[], []]| 'love':[]
Othgar_Hoare_(the_Demonlover):'siblings':[]| 'fmc':[[], []]| 'love':[]
Othgar_Hoare_(the_Soulless):'siblings':[]| 'fmc':[[], []]| 'love':[]
Otho_Bracken:'siblings':[]| 'fmc':[[], []]| 'love':[]
Othor:'siblings':[]| 'fmc':[[], []]| 'love':[]
Ottyn_Wythers:'siblings':[]| 'fmc':[[], []]| 'love':[]
Owen_Costayne:'siblings':[]| 'fmc':[[], []]| 'love':[]
Owen_Oakenshield:'siblings':['John_the_Oak', 'Gilbert_of_the_Vines', 'Florys_the_Fox', 'Maris_the_Maid', 'Brandon_of_the_Bloody_Blade', 'Foss_the_Archer', 'Harlon_the_Hunter', 'Herndon_of_the_Horn', 'Bors_the_Breaker', 'Rose_of_Red_Lake', 'Ellyn_Ever_Sweet', 'Rowan_Gold-Tree', 'Garth_the_Gardener']| 'fmc':[['Garth_Greenhand'], []]| 'love':[]
Oznak_zo_Pahl:'siblings':[]| 'fmc':[[], []]| 'love':[]
Patchface:'siblings':[]| 'fmc':[[], []]| 'love':[]
Pate:'siblings':[]| 'fmc':[[], []]| 'love':[]
Pate_of_Longleaf:'siblings':[]| 'fmc':[[], []]| 'love':[]
Pate_of_the_Blue_Fork:'siblings':[]| 'fmc':[[], []]| 'love':[]
Pate_the_Woodcock:'siblings':[]| 'fmc':[[], []]| 'love':[]
Patrek_Mallister:'siblings':[]| 'fmc':[['Jason_Mallister'], []]| 'love':[]
Paxter_Redwyne:'siblings':[]| 'fmc':[[], []]| 'love':['Mina_Tyrell']
Penny_Jenny:'siblings':[]| 'fmc':[[], ['Glendon_Flowers']]| 'love':[]
Perceon_III_Gardener:'siblings':[]| 'fmc':[[], []]| 'love':[]
Peremore_Hightower:'siblings':[]| 'fmc':[['Uthor_of_the_High_Tower'], []]| 'love':[]
Perianne_Moore:'siblings':[]| 'fmc':[[], []]| 'love':['Jonah_Mooton']
Perkin_Follard:'siblings':[]| 'fmc':[[], []]| 'love':[]
Perra_Royce:'siblings':[]| 'fmc':[[], ['Stevron_Frey', 'Emmon_Frey', 'Aenys_Frey', 'Perriane_Frey']]| 'love':['Walder_Frey']
Perriane_Frey:'siblings':[]| 'fmc':[['Walder_Frey', 'Perra_Royce'], ['Harys_Haigh', 'Donnel_Haigh', 'Alyn_Haigh']]| 'love':['Leslyn_Haigh']
Perwyn_Frey:'siblings':['Stevron_Frey', 'Emmon_Frey', 'Aenys_Frey', 'Perriane_Frey', 'Jared_Frey', 'Luceon_Frey', 'Hosteen_Frey', 'Lythene_Frey', 'Symond_Frey', 'Danwell_Frey', 'Merrett_Frey', 'Geremy_Frey', 'Raymund_Frey', 'Lothar_Frey', 'Jammos_Frey', 'Whalen_Frey', 'Morya_Frey', 'Tyta_Frey', 'Benfrey_Frey', 'Willamen_Frey', 'Olyvar_Frey', 'Roslin_Frey', 'Arwyn_Frey', 'Wendel_Frey', 'Colmar_Frey', 'Waltyr_Frey', 'Elmar_Frey', 'Shirei_Frey', 'Walder_Rivers', 'Martyn_Rivers', 'Ronel_Rivers']| 'fmc':[['Walder_Frey', 'Bethany_Rosby'], []]| 'love':[]
Petyr_Baelish:'siblings':[]| 'fmc':[[], []]| 'love':['Lysa_Arryn']
Petyr_Frey:'siblings':[]| 'fmc':[[], []]| 'love':[]
Petyr_Piper:'siblings':[]| 'fmc':[[], []]| 'love':[]
Philip_Foote:'siblings':[]| 'fmc':[[], []]| 'love':[]
Plummer:'siblings':[]| 'fmc':[[], []]| 'love':[]
Podrick_Payne:'siblings':[]| 'fmc':[[], []]| 'love':[]
Polliver:'siblings':[]| 'fmc':[[], []]| 'love':[]
Porther:'siblings':[]| 'fmc':[[], []]| 'love':[]
Category:POV_Character:'siblings':[]| 'fmc':[[], []]| 'love':[]
Praed:'siblings':[]| 'fmc':[[], []]| 'love':[]
Prentys_Tully:'siblings':[]| 'fmc':[[], []]| 'love':['Lucinda_Tully']
Preston_Greenfield:'siblings':[]| 'fmc':[[], []]| 'love':[]
Prince_that_was_Promised:'siblings':[]| 'fmc':[[], []]| 'love':[]
Prudence_Celtigar:'siblings':['Prunella_Celtigar']| 'fmc':[['Edwell_Celtigar'], []]| 'love':[]
Prunella_Celtigar:'siblings':['Prudence_Celtigar']| 'fmc':[['Edwell_Celtigar'], []]| 'love':['Uther_Peake']
Puckens:'siblings':[]| 'fmc':[[], []]| 'love':[]
Pyat_Pree:'siblings':[]| 'fmc':[[], []]| 'love':[]
Pycelle:'siblings':[]| 'fmc':[[], []]| 'love':[]
Pyg:'siblings':[]| 'fmc':[[], []]| 'love':[]
Pypar:'siblings':[]| 'fmc':[[], []]| 'love':[]
Qalen:'siblings':[]| 'fmc':[[], []]| 'love':[]
Qarl_Corbray:'siblings':[]| 'fmc':[[], []]| 'love':[]
Qarl_Correy:'siblings':[]| 'fmc':[[], []]| 'love':[]
Qarl_Kenning:'siblings':[]| 'fmc':[[], []]| 'love':[]
Qarl_Shepherd:'siblings':[]| 'fmc':[[], []]| 'love':[]
Qarl_the_Maid:'siblings':[]| 'fmc':[[], []]| 'love':[]
Qarlton_II_Durrandon:'siblings':[]| 'fmc':[[], []]| 'love':[]
Qhored_I_Hoare:'siblings':[]| 'fmc':[[], []]| 'love':[]
Qhorin_Volmark:'siblings':[]| 'fmc':[[], []]| 'love':[]
Qhorwyn_Hoare:'siblings':[]| 'fmc':[[], ['Harlan_Hoare', 'Harwyn_Hoare']]| 'love':[]
Qotho:'siblings':[]| 'fmc':[[], []]| 'love':[]
Quaithe:'siblings':[]| 'fmc':[[], []]| 'love':[]
Quaro:'siblings':[]| 'fmc':[[], []]| 'love':[]
Quellon_Botley:'siblings':['Balon_Botley']| 'fmc':[['Germund_Botley'], []]| 'love':[]
Quellon_Greyjoy:'siblings':[]| 'fmc':[[], ['Harlon_Greyjoy', 'Quenton_Greyjoy', 'Donel_Greyjoy', 'Balon_Greyjoy', 'Euron_Greyjoy', 'Victarion_Greyjoy', 'Urrigon_Greyjoy', 'Aeron_Greyjoy', 'Robin_Greyjoy']]| 'love':['House_Stonetree', 'House_Sunderly', 'House_Piper']
Quellon_Humble:'siblings':[]| 'fmc':[[], []]| 'love':[]
Quenten_Banefort:'siblings':[]| 'fmc':[[], []]| 'love':[]
Quentin_Tyrell:'siblings':[]| 'fmc':[[], ['Olymer_Tyrell']]| 'love':[]
Quenton_Greyjoy:'siblings':['Harlon_Greyjoy', 'Donel_Greyjoy', 'Balon_Greyjoy', 'Euron_Greyjoy', 'Victarion_Greyjoy', 'Urrigon_Greyjoy', 'Aeron_Greyjoy', 'Robin_Greyjoy']| 'fmc':[['Quellon_Greyjoy'], []]| 'love':[]
Quenton_Greyjoy_(cousin):'siblings':[]| 'fmc':[[], []]| 'love':[]
Quentyn_Ball:'siblings':[]| 'fmc':[[], ['Glendon_Flowers']]| 'love':[]
Quentyn_Blackwood:'siblings':[]| 'fmc':[[], []]| 'love':[]
Quentyn_Martell:'siblings':['Arianne_Martell', 'Trystane_Martell']| 'fmc':[['Doran_Martell', 'Mellario_of_Norvos'], []]| 'love':[]
Quincy_Cox:'siblings':[]| 'fmc':[[], []]| 'love':[]
Qyburn:'siblings':[]| 'fmc':[[], []]| 'love':[]
Qyle:'siblings':[]| 'fmc':[[], []]| 'love':[]
Ragged_Ralf:'siblings':[]| 'fmc':[[], []]| 'love':[]
Rakharo:'siblings':[]| 'fmc':[[], []]| 'love':[]
Ralf_Kenning:'siblings':[]| 'fmc':[[], []]| 'love':[]
Ralf_Stonehouse:'siblings':[]| 'fmc':[[], []]| 'love':[]
Rast:'siblings':[]| 'fmc':[[], []]| 'love':[]
Ravos_Hoare:'siblings':[]| 'fmc':[['Harrag_Hoare'], []]| 'love':[]
Raya_Stark:'siblings':['Rickon_Stark_(Son_of_Cregan)', 'Sarra_Stark', 'Alys_Stark', 'Mariah_Stark', 'Jonnel_Stark', 'Edric_Stark_(Son_of_Cregan)', 'Lyanna_Stark_(Daughter_of_Cregan)', 'Barthogan_Stark', 'Brandon_Stark_(Son_of_Cregan)']| 'fmc':[['Cregan_Stark', 'Alysanne_Blackwood'], []]| 'love':[]
Mance_Rayder:'siblings':[]| 'fmc':[[], []]| 'love':[]
Raylon_Rivers:'siblings':['Amos_Bracken']| 'fmc':[['Humfrey_Bracken'], []]| 'love':[]
Raymont_Baratheon:'siblings':[]| 'fmc':[[], []]| 'love':[]
Raymun_Darry:'siblings':[]| 'fmc':[[], ['Lyman_Darry']]| 'love':[]
Raymun_Redbeard:'siblings':[]| 'fmc':[[], []]| 'love':[]
Raymund_Frey:'siblings':[]| 'fmc':[[], []]| 'love':[]
Raymund_Mallery:'siblings':[]| 'fmc':[[], []]| 'love':[]
Raymund_Tyrell:'siblings':['Rickard_Tyrell', 'Megga_Tyrell']| 'fmc':[['Olymer_Tyrell', 'Lysa_Meadows'], []]| 'love':[]
Raynald_Westerling:'siblings':['Jeyne_Westerling', 'Eleyna_Westerling', 'Rollam_Westerling']| 'fmc':[['Gawen_Westerling', 'Sybell_Spicer'], []]| 'love':[]
Raynard_Ruttiger:'siblings':[]| 'fmc':[[], []]| 'love':[]
Red_Oarsman:'siblings':[]| 'fmc':[[], []]| 'love':[]
Red_Princes:'siblings':[]| 'fmc':[[], []]| 'love':[]
Howland_Reed:'siblings':[]| 'fmc':[[], []]| 'love':[]
Category:Reference_Characters:'siblings':[]| 'fmc':[[], []]| 'love':[]
Regenard_Estren:'siblings':[]| 'fmc':[[], []]| 'love':[]
Regis_Groves:'siblings':[]| 'fmc':[[], []]| 'love':[]
Regnar_Drumm:'siblings':[]| 'fmc':[[], []]| 'love':[]
Renfred_Rykker:'siblings':[]| 'fmc':[[], []]| 'love':[]
Renly_Norcross:'siblings':['Edric_Storm', 'Alester_Norcross']| 'fmc':[['Hosman_Norcross', 'Delena_Florent'], []]| 'love':[]
Rennifer_Longwaters:'siblings':[]| 'fmc':[[], []]| 'love':[]
